id,t,h,ts
dht22-yellow,20.2,36.1,12:44:44
dht22-yellow,20.2,36.7,12:46:47
dht22-yellow,20.2,36.1,12:48:53
dht22-yellow,20.2,36.1,12:51:02
dht22-yellow,20.2,36.1,12:53:08
dht22-yellow,20.2,36.1,12:55:14
dht22-yellow,20.2,36.1,12:57:20
dht22-yellow,20.2,36.1,12:59:21
dht22-yellow,20.2,36.1,13:01:25
dht22-yellow,20.2,36.1,13:03:29
dht22-yellow,20.2,36,13:05:32
dht22-yellow,20.2,36.1,13:07:34
dht22-yellow,20.2,36.2,13:09:47
dht22-yellow,20.2,36.2,13:11:55
dht22-yellow,20.2,36.2,13:14:02
dht22-yellow,20.2,36.2,13:16:09
dht22-yellow,20.2,36.3,13:18:14
dht22-yellow,20.3,36.7,13:20:25
dht22-yellow,20.3,36.7,13:22:30
dht22-yellow,20.5,37.5,13:24:36
dht22-yellow,20.5,37.4,13:26:44
dht22-yellow,20.7,37.6,13:28:50
dht22-yellow,20.7,37.6,13:30:56
dht22-yellow,20.8,37.5,13:33:01
dht22-yellow,20.9,37.4,13:35:14
dht22-yellow,20.9,37.4,13:37:20
dht22-yellow,21,37.4,13:39:26
dht22-yellow,21.1,37.3,13:41:32
dht22-yellow,21.2,37.4,13:43:40
dht22-yellow,21.3,37.1,13:45:44
dht22-yellow,21.2,37,13:47:52
dht22-yellow,21.3,37,13:49:54
dht22-yellow,21.4,36.8,13:52:04
dht22-yellow,21.4,36.8,13:54:12
dht22-yellow,21.6,36.9,13:56:20
dht22-yellow,21.6,36.7,13:58:31
dht22-yellow,21.6,36.7,14:00:36
dht22-yellow,21.7,36.6,14:02:44
dht22-yellow,21.7,36.5,14:04:46
dht22-yellow,21.8,36.6,14:06:50
dht22-yellow,21.8,36.3,14:08:56
dht22-yellow,21.9,36.2,14:10:59
dht22-yellow,22,36.2,14:13:10
dht22-yellow,22,36,14:15:17
dht22-yellow,22.1,36,14:17:27
dht22-yellow,22,35.9,14:19:31
dht22-yellow,22.1,35.7,14:21:41
dht22-yellow,22.2,35.7,14:23:47
dht22-yellow,22.2,35.7,14:25:55
dht22-yellow,22.2,35.7,14:27:59
dht22-yellow,22.3,35.6,14:30:07
dht22-yellow,22.4,35.6,14:32:15
dht22-yellow,22.4,35.6,14:34:23
dht22-yellow,22.5,35.4,14:36:31
dht22-yellow,22.5,35.5,14:38:39
dht22-yellow,22.5,35.4,14:40:47
dht22-yellow,22.5,35.4,14:42:53
dht22-yellow,22.6,35.2,14:44:57
dht22-yellow,22.7,35.2,14:47:07
dht22-yellow,22.7,35.2,14:49:09
dht22-yellow,22.8,35.2,14:51:19
dht22-yellow,22.8,35,14:53:27
dht22-yellow,22.8,35,14:55:36
dht22-yellow,22.9,35,14:57:42
dht22-yellow,22.8,34.9,14:59:46
dht22-yellow,22.9,35.2,15:01:50
dht22-yellow,22.8,35.3,15:03:55
dht22-yellow,22.8,36,15:05:59
dht22-yellow,22.7,36,15:08:05
dht22-yellow,22.7,35.9,15:10:11
dht22-yellow,22.6,36.1,15:12:19
dht22-yellow,22.6,36.1,15:14:25
dht22-yellow,22.6,36.8,15:16:27
dht22-yellow,22.6,36.3,15:18:35
dht22-yellow,22.5,36.8,15:20:41
dht22-yellow,22.5,37,15:22:50
dht22-yellow,22.5,37,15:24:58
dht22-yellow,22.5,37.1,15:27:06
dht22-yellow,22.4,37.1,15:29:12
dht22-yellow,22.5,37.2,15:31:16
dht22-yellow,22.4,37.1,15:33:17
dht22-yellow,22.4,37.3,15:35:19
dht22-yellow,22.4,37.4,15:37:20
dht22-yellow,22.3,37.4,15:39:22
dht22-yellow,22.3,37.5,15:41:24
dht22-yellow,22.3,37.7,15:43:25
dht22-yellow,22.2,37.6,15:45:27
dht22-yellow,22.2,37.6,15:47:28
dht22-yellow,22.2,37.5,15:49:30
dht22-yellow,22.2,37.4,15:51:31
dht22-yellow,22.2,37.5,15:53:33
dht22-yellow,22.2,37.4,15:55:34
dht22-yellow,22.3,37.6,15:57:36
dht22-yellow,22.2,37.6,15:59:38
dht22-yellow,22.2,38,16:01:39
dht22-yellow,22.2,37.9,16:03:42
dht22-yellow,22.2,37.8,16:05:45
dht22-yellow,22.2,38,16:07:49
dht22-yellow,22.1,38,16:09:50
